# Every unique Lua C function name the engine registers.
# 1488 pairs, 1432 distinct names.
# A trailing [STUB] marks the noop stub at 0x006AEF90
# (function was stripped from the retail build).

name                                              address     notes
--------------------------------------------------------------------------------
0123456789ABCDEF                                  0x02118D74
DoSigninCheck                                     0x005B4BF0
DrawPath                                          0x006AEF90  [STUB]
Drop                                              0x005BDDC0
DropWeapon                                        0x005BF410
dsa                                               0x02136B3C
dso                                               0x02136A88
dump                                              0x00863B60
DumpAssetMemory                                   0x006AEF90  [STUB]
DumpAssets                                        0x006AEF90  [STUB]
DumpAssetsDiff                                    0x006AEF90  [STUB]
DumpMemory                                        0x006AEF90  [STUB]
DumpStats                                         0x006AEF90  [STUB]
DumpTextures                                      0x006AEF90  [STUB]
duplicateMovieClip                                0x007944B0
dynlock                                           0x02136A80
ec                                                0x02136A68
ec_pre_comp                                       0x02136A50
ecdh                                              0x02136A64
ecdsa                                             0x02136A70
Emote                                             0x005BD730
Enable                                            0x005A8AD0
EnableFactionMarkers                              0x005B4750
EnableImmediatelyChangeMode                       0x005B10F0
EnableIntersection                                0x005D7BC0
EnablePhysics                                     0x005D0730
EnablePickupMarkers                               0x005B49A0
EnablePlayerMarkers                               0x005B4B10
EnableRoad                                        0x005D7AC0
EnableTurret                                      0x005E8740
EnableVehicleEntranceMarkers                      0x005B4860
EnableWeapons                                     0x005BE210
End                                               0x005B16E0
endFill                                           0x00797320
EndLayerEventGroup                                0x005C91A0
engine                                            0x02136A7C
Enter                                             0x005E8000
EnterBySeatGuid                                   0x005E81F0
EnterFriendsLobby                                 0x005C6940
EnterLobby                                        0x005C6A10
ENUMERATED                                        0x02146BC4
equals                                            0x007AC320
equals                                            0x007D3290
EquipDesignator                                   0x005AD3C0
EquipWeapon                                       0x005BE330
EquipWeapon                                       0x005BF4D0
err                                               0x02136B7C
error                                             0x008606A0
Eval                                              0x005F7680
EveryoneOut                                       0x005A9820
evp_pkey                                          0x02136B24
ex_data                                           0x02136B74
Exit                                              0x005E83F0
ExitFriendsLobby                                  0x005C69B0
exp                                               0x005C5BA0
EXTERNAL                                          0x02146BD0
Extinguish                                        0x006AEF90  [STUB]
FadeCategoryDown                                  0x005E38B0
FadeCategoryUp                                    0x005E39C0
FadeOut                                           0x005CDD30
Failed                                            0x005E0A50
FastCollectBoats                                  0x005D4290
FastCollectBuildings                              0x005D4590
FastCollectCars                                   0x005D4050
FastCollectFlying                                 0x005D3C90
FastCollectGroundVehicles                         0x005D3F00
FastCollectGroundVehiclesExceptTanks              0x005D4050
FastCollectHelicopters                            0x005D3A50
FastCollectHumans                                 0x005D4170
FastCollectJets                                   0x005D3B70
FastCollectProps                                  0x005D43B0
FastCollectTanks                                  0x005D3DE0
FastCollectUsables                                0x005D44D0
Feb                                               0x02118D6C
February                                          0x02118D2C
Feed                                              0x006AEF90  [STUB]
find                                              0x00864910
FindDesignatorOwner                               0x005AD9D0
FindExitPoint                                     0x005AD100
FindGuiLocation                                   0x005B3000
FindPointFromCamera                               0x005D68D0
FinishedShell                                     0x005E5460
FirstRun                                          0x005C58F0
floor                                             0x005C59A0
FlushAssets                                       0x005E5670
Flyby                                             0x005AD640
Follow                                            0x005AFB80
ForceActionTransition                             0x005E37D0
ForceExitSeatNoSnap                               0x005BD1D0
ForceNextAutosave                                 0x005E6610
foreach                                           0x00862480
foreachi                                          0x00862350
format                                            0x00865370
FormatTime                                        0x005C0110
freeaddrinfo                                      0x009E29E7
Fri                                               0x02118DBC
